,Date,Open,High,Low,Close
1017,02/23/2017,2367.50,2368.26,2355.09,2363.81
1018,02/24/2017,2355.73,2367.34,2352.87,2367.34
1019,02/27/2017,2365.23,2371.54,2361.87,2369.75
1020,02/28/2017,2366.08,2367.79,2358.96,2363.64
1021,03/01/2017,2380.13,2400.98,2380.13,2395.96
1022,03/02/2017,2394.75,2394.75,2380.17,2381.92
1023,03/03/2017,2380.92,2383.89,2375.39,2383.12
1024,03/06/2017,2375.23,2378.80,2367.98,2375.31
1025,03/07/2017,2370.74,2375.12,2365.51,2368.39
1026,03/08/2017,2369.81,2373.09,2361.01,2362.98
1027,03/09/2017,2363.49,2369.08,2354.54,2364.87
1028,03/10/2017,2372.52,2376.86,2363.04,2372.60
1029,03/13/2017,2371.56,2374.42,2368.52,2373.47
1030,03/14/2017,2368.55,2368.55,2358.18,2365.45
1031,03/15/2017,2370.34,2390.01,2368.94,2385.26
1032,03/16/2017,2387.71,2388.10,2377.18,2381.38
1033,03/17/2017,2383.71,2385.71,2377.64,2378.25
1034,03/20/2017,2378.24,2379.55,2369.66,2373.47
1035,03/21/2017,2379.32,2381.93,2341.90,2344.02
1036,03/22/2017,2343.00,2351.81,2336.45,2348.45
1037,03/23/2017,2345.97,2358.92,2342.13,2345.96
1038,03/24/2017,2350.42,2356.22,2335.74,2343.98
1039,03/27/2017,2329.11,2344.90,2322.25,2341.59
1040,03/28/2017,2339.79,2363.78,2337.63,2358.57
1041,03/29/2017,2356.54,2363.36,2352.94,2361.13
1042,03/30/2017,2361.31,2370.42,2358.58,2368.06
1043,03/31/2017,2364.82,2370.35,2362.60,2362.72
1044,04/03/2017,2362.34,2365.87,2344.73,2358.84
1045,04/04/2017,2354.76,2360.53,2350.72,2360.16
1046,04/05/2017,2366.59,2378.36,2350.52,2352.95
1047,04/06/2017,2353.79,2364.16,2348.90,2357.49
1048,04/07/2017,2356.59,2363.76,2350.74,2355.54
1049,04/10/2017,2357.16,2366.37,2351.50,2357.16
1050,04/11/2017,2353.92,2355.22,2337.25,2353.78
1051,04/12/2017,2352.15,2352.72,2341.18,2344.93
1052,04/13/2017,2341.98,2348.26,2328.95,2328.95
1053,04/17/2017,2332.62,2349.14,2332.51,2349.01
1054,04/18/2017,2342.53,2348.35,2334.54,2342.19
1055,04/19/2017,2346.79,2352.63,2335.05,2338.17
1056,04/20/2017,2342.69,2361.37,2340.91,2355.84
1057,04/21/2017,2354.74,2356.18,2344.51,2348.69
1058,04/24/2017,2370.33,2376.98,2369.19,2374.15
1059,04/25/2017,2381.51,2392.48,2381.15,2388.61
1060,04/26/2017,2388.98,2398.16,2386.76,2387.45
1061,04/27/2017,2389.70,2392.10,2382.68,2388.77
1062,04/28/2017,2393.68,2393.68,2382.36,2384.20
1063,05/01/2017,2388.50,2394.49,2384.83,2388.33
1064,05/02/2017,2391.05,2392.93,2385.82,2391.17
