iShares Core S&P 500 ETF
Fund Holdings as of,"Nov 07, 2023"
Inception Date,"May 15, 2000"
Shares Outstanding,"813,900,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"ITW","ILLINOIS TOOL INC","Industrials","Equity","614,647,237.62","0.17","614,647,237.62","2,673,658.00","229.89","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WM","WASTE MANAGEMENT INC","Industrials","Equity","606,562,670.64","0.17","606,562,670.64","3,581,499.00","169.36","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CL","COLGATE-PALMOLIVE","Consumer Staples","Equity","604,275,947.40","0.17","604,275,947.40","8,032,380.00","75.23","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ICE","INTERCONTINENTAL EXCHANGE INC","Financials","Equity","601,805,467.90","0.17","601,805,467.90","5,560,945.00","108.22","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MCK","MCKESSON CORP","Health Care","Equity","600,331,042.08","0.17","600,331,042.08","1,310,652.00","458.04","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HUM","HUMANA INC","Health Care","Equity","599,778,331.02","0.17","599,778,331.02","1,203,939.00","498.18","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"XTSLA","BLK CSH FND TREASURY SL AGENCY","Cash and/or Derivatives","Money Market","592,302,143.50","0.17","592,302,143.50","592,302,144.00","1.00","United States","-","USD","1.00","USD","-"
"CSX","CSX CORP","Industrials","Equity","591,648,878.95","0.17","591,648,878.95","19,494,197.00","30.35","United States","NASDAQ","USD","1.00","USD","-"
"PYPL","PAYPAL HOLDINGS INC","Financials","Equity","582,841,242.18","0.16","582,841,242.18","10,668,886.00","54.63","United States","NASDAQ","USD","1.00","USD","-"
"SHW","SHERWIN WILLIAMS","Materials","Equity","579,232,781.66","0.16","579,232,781.66","2,298,634.00","251.99","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ORLY","OREILLY AUTOMOTIVE INC","Consumer Discretionary","Equity","571,978,142.19","0.16","571,978,142.19","586,879.00","974.61","United States","NASDAQ","USD","1.00","USD","Jan 01, 1970"
"MPC","MARATHON PETROLEUM CORP","Energy","Equity","567,848,846.88","0.16","567,848,846.88","3,885,118.00","146.16","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CMG","CHIPOTLE MEXICAN GRILL INC","Consumer Discretionary","Equity","553,272,254.46","0.15","553,272,254.46","267,957.00","2,064.78","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"APD","AIR PRODUCTS AND CHEMICALS INC","Materials","Equity","549,270,994.50","0.15","549,270,994.50","2,158,575.00","254.46","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FDX","FEDEX CORP","Industrials","Equity","549,021,917.40","0.15","549,021,917.40","2,248,247.00","244.20","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GD","GENERAL DYNAMICS CORP","Industrials","Equity","534,474,468.90","0.15","534,474,468.90","2,201,930.00","242.73","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PXD","PIONEER NATURAL RESOURCE","Energy","Equity","532,267,907.23","0.15","532,267,907.23","2,265,259.00","234.97","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"USB","US BANCORP","Financials","Equity","526,606,759.11","0.15","526,606,759.11","15,128,031.00","34.81","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ROP","ROPER TECHNOLOGIES INC","Information Technology","Equity","525,776,598.72","0.15","525,776,598.72","1,036,912.00","507.06","United States","NASDAQ","USD","1.00","USD","-"
"ANET","ARISTA NETWORKS INC","Information Technology","Equity","518,012,656.00","0.14","518,012,656.00","2,436,560.00","212.60","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MCO","MOODYS CORP","Financials","Equity","514,991,150.35","0.14","514,991,150.35","1,533,305.00","335.87","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AJG","ARTHUR J GALLAGHER","Financials","Equity","510,941,124.00","0.14","510,941,124.00","2,094,021.00","244.00","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PH","PARKER-HANNIFIN CORP","Industrials","Equity","507,492,388.20","0.14","507,492,388.20","1,246,665.00","407.08","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ABNB","AIRBNB INC CLASS A","Consumer Discretionary","Equity","501,582,738.84","0.14","501,582,738.84","4,142,573.00","121.08","United States","NASDAQ","USD","1.00","USD","-"
"MMM","3M","Industrials","Equity","499,589,252.55","0.14","499,589,252.55","5,363,277.00","93.15","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TGT","TARGET CORP","Consumer Staples","Equity","499,359,987.30","0.14","499,359,987.30","4,484,598.00","111.35","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MSI","MOTOROLA SOLUTIONS INC","Information Technology","Equity","494,951,737.02","0.14","494,951,737.02","1,622,899.00","304.98","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PSX","PHILLIPS","Energy","Equity","492,631,685.84","0.14","492,631,685.84","4,326,644.00","113.86","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
